Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,639946,-,-,-,19.45,-99.14,-6,2240,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2013,1,1,0,30,0,0,0,6,9.5,785,196,0.8,0.15,0,0,0
2013,1,1,1,30,0,0,0,6.1000000000000005,9.200000000000001,785,198,0.8,0.15,0,0,0
2013,1,1,2,30,0,0,0,6.2,8.9,784,199,0.8,0.15,0,0,0
2013,1,1,3,30,0,0,0,6.300000000000001,8.700000000000001,784,199,0.8,0.15,0,0,0
2013,1,1,4,30,0,0,0,6.5,8.5,784,199,0.9,0.15,0,0,0
2013,1,1,5,30,0,0,0,6.7,8.3,784,199,0.9,0.15,0,0,0
2013,1,1,6,30,0,0,0,6.800000000000001,8.4,784,200,0.9,0.15,0,0,0
2013,1,1,7,30,248,23,38,6.9,10.200000000000001,785,204,1.1,0.15,23,248,38
2013,1,1,8,30,689,62,249,7.1000000000000005,13.3,785,211,1.5,0.15,62,689,249
2013,1,1,9,30,853,79,468,6.800000000000001,15.9,785,216,1.7000000000000002,0.15,79,853,468
2013,1,1,10,30,923,91,646,5.800000000000001,17.6,785,215,1.8,0.15,91,923,646
2013,1,1,11,30,957,98,766,5.1000000000000005,18.8,785,210,1.8,0.15,98,957,766
2013,1,1,12,30,972,99,816,4.6000000000000005,19.6,784,204,1.8,0.15,99,972,816
2013,1,1,13,30,964,99,791,4.1000000000000005,20,783,197,1.7000000000000002,0.15,99,964,791
