Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,859481,-,-,-,20.97,-89.58,-6,12,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2008,1,1,0,30,0,0,0,22.3,24.400000000000002,1016,61,0.30000000000000004,0.2,0,0,0
2008,1,1,1,30,0,0,0,22.3,24,1016,59,0.30000000000000004,0.2,0,0,0
2008,1,1,2,30,0,0,0,22.400000000000002,23.6,1016,56,0.2,0.2,0,0,0
2008,1,1,3,30,0,0,0,22.400000000000002,23.3,1016,55,0.2,0.2,0,0,0
2008,1,1,4,30,0,0,0,22.400000000000002,23.1,1017,53,0.2,0.2,0,0,0
2008,1,1,5,30,0,0,0,22.3,22.900000000000002,1017,51,0.2,0.2,0,0,0
2008,1,1,6,30,0,0,0,22.400000000000002,23.200000000000003,1018,46,0.30000000000000004,0.2,0,0,0
2008,1,1,7,30,24,87,91,22.5,24.5,1019,43,0.30000000000000004,0.2,52,457,137
2008,1,1,8,30,456,142,315,22.5,26.3,1020,39,0.4,0.2,78,692,341
2008,1,1,9,30,786,98,521,21.8,27.8,1020,33,0.4,0.2,98,786,521
2008,1,1,10,30,136,371,460,21.3,28.5,1020,27,0.5,0.2,113,827,652
2008,1,1,11,30,13,246,255,21.1,28.5,1019,23,0.7000000000000001,0.2,124,839,721
2008,1,1,12,30,0,29,29,21.1,28,1018,22,0.7000000000000001,0.2,136,814,717
2008,1,1,13,30,785,133,649,21.1,27.400000000000002,1018,22,0.8,0.2,133,785,649
2008,1,1,14,30,148,269,350,21.200000000000003,26.6,1018,24,0.8,0.2,123,723,518
2008,1,1,15,30,8,110,113,21.200000000000003,25.700000000000003,1019,25,0.8,0.2,106,597,338
2008,1,1,16,30,3,60,60,21.200000000000003,24.6,1019,24,0.8,0.2,71,336,138
2008,1,1,17,30,0,0,0,21.3,23.5,1020,23,0.8,0.2,0,0,0
2008,1,1,18,30,0,0,0,21.200000000000003,22.8,1021,23,0.9,0.2,0,0,0
2008,1,1,19,30,0,0,0,20.700000000000003,22.400000000000002,1022,24,0.9,0.2,0,0,0
2008,1,1,20,30,0,0,0,20,22.200000000000003,1023,24,0.9,0.2,0,0,0
2008,1,1,21,30,0,0,0,19.1,22,1023,24,0.9,0.2,0,0,0
2008,1,1,22,30,0,0,0,18.2,21.8,1023,25,0.9,0.2,0,0,0
2008,1,1,23,30,0,0,0,17.400000000000002,21.5,1023,26,0.9,0.2,0,0,0
2008,1,2,0,30,0,0,0,16.7,21.200000000000003,1023,26,0.9,0.2,0,0,0
2008,1,2,1,30,0,0,0,15.9,21.1,1023,24,0.9,0.2,0,0,0
2008,1,2,2,30,0,0,0,15.3,20.900000000000002,1023,22,0.9,0.2,0,0,0
2008,1,2,3,30,0,0,0,14.700000000000001,20.700000000000003,1023,21,0.9,0.2,0,0,0
2008,1,2,4,30,0,0,0,14.3,20.5,1024,20,0.9,0.2,0,0,0
2008,1,2,5,30,0,0,0,14,20.3,1025,20,0.9,0.2,0,0,0
2008,1,2,6,30,0,0,0,13.700000000000001,20.3,1026,20,0.9,0.2,0,0,0
2008,1,2,7,30,14,93,95,13.4,20.5,1027,20,1,0.2,87,171,118
2008,1,2,8,30,74,207,235,13,20.900000000000002,1028,20,1,0.2,148,443,316
2008,1,2,9,30,0,164,164,12.700000000000001,21.1,1029,20,1,0.2,182,585,497
