Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,493204,-,-,-,24.01,-104.66,-6,1892,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2018,1,1,0,30,0,0,0,5.2,8.5,815,200,1,0.19,0,0,0
2018,1,1,1,30,0,0,0,5,7.9,815,201,1,0.19,0,0,0
2018,1,1,2,30,0,0,0,4.7,7.6000000000000005,814,205,1,0.19,0,0,0
2018,1,1,3,30,0,0,0,4.5,7.5,814,207,0.9,0.19,0,0,0
2018,1,1,4,30,0,0,0,4.3,7.4,814,206,0.8,0.19,0,0,0
2018,1,1,5,30,0,0,0,4.1000000000000005,7.4,814,202,0.7000000000000001,0.19,0,0,0
2018,1,1,6,30,0,0,0,4,7.300000000000001,815,193,0.6000000000000001,0.19,0,0,0
2018,1,1,7,30,0,0,0,4,8.200000000000001,815,189,0.7000000000000001,0.19,0,0,0
2018,1,1,8,30,545,43,128,4.800000000000001,11.200000000000001,816,193,0.8,0.19,43,545,128
2018,1,1,9,30,792,65,340,4.5,15.200000000000001,816,235,0.5,0.19,65,792,340
2018,1,1,10,30,894,78,528,3.1,18.5,816,260,0.4,0.19,78,894,528
2018,1,1,11,30,939,87,665,2.3000000000000003,20.3,815,245,0.6000000000000001,0.19,87,939,665
2018,1,1,12,30,954,95,738,2.1,21.3,814,252,0.7000000000000001,0.19,95,954,738
2018,1,1,13,30,949,98,740,2.1,21.700000000000003,814,267,0.7000000000000001,0.19,98,949,740
